"","ds","dep_var","trend","season","ct.1.","x.1.","x.2.","x.3.","intercept","depVarHat","solID","cluster","top_sol"
"1",2000-01-07,23660.0441906369,19336.1978886489,-3650.30301787057,8377.68950486865,7.5574390112664e-06,1239.44833149511,3487.80222782338,-10191.4925268915,18599.3424156315,"1_371_7",1,FALSE
"2",2000-01-14,20524.9541963631,19445.7924959278,-2471.18292400832,5901.53533296205,0.0972667773587981,1386.57811880004,4678.1838541016,-10191.4925268915,18749.5116176691,"1_371_7",1,FALSE
"3",2000-01-21,24004.5817301281,19555.3871032068,-2834.58945400205,9199.94940320154,0.0721876245261424,833.572140319214,4080.30674434923,-10191.4925268915,20643.2055978077,"1_371_7",1,FALSE
"4",2000-01-28,14487.7718324006,19664.9817104857,-4289.8073272592,1387.23109749483,3.53819976482019,906.71126505307,3632.57494831249,-10191.4925268915,11113.7373669602,"1_371_7",1,FALSE
"5",2000-02-04,14558.765791647,19774.5763177646,-4942.39348436716,4210.13582731555,6.11437609140755,1207.37344696527,2639.94234785588,-10191.4925268915,12704.256304734,"1_371_7",1,FALSE
"6",2000-02-11,18467.7673075568,19884.1709250435,-3639.14092608944,12469.069472201,9.09803966939588,1424.22152842779,3292.93657198312,-10191.4925268915,23248.8630843439,"1_371_7",1,FALSE
"7",2000-02-18,19790.5172662881,19993.7655323224,-1387.88274198267,9604.58657340216,3.49017577076479,1095.30966213119,4196.72888147913,-10191.4925268915,23314.5055562315,"1_371_7",1,FALSE
"8",2000-02-25,27976.0961449868,20103.3601396013,-273.592163280109,10976.5840388391,8.29573235943708,1164.2245841611,3747.50781164458,-10191.4925268915,25534.887616434,"1_371_7",1,FALSE
"9",2000-03-03,19926.9196689265,20212.9547474468,-1116.76698194872,2617.14665570981,270.537005344883,1137.42726500133,3898.55384468141,-10191.4925268915,16828.360009344,"1_371_7",1,FALSE
"10",2000-03-10,31428.6790038756,20322.5493552922,-2632.75012452243,11311.7568520851,408.735621571014,1572.20368745244,5291.08592249475,-10191.4925268915,26082.0887874816,"1_371_7",1,FALSE
"11",2000-03-17,15183.4643969369,20432.1439631377,-3021.1563981294,6664.60578022234,635.400110317875,1442.51652953514,4413.65812980062,-10191.4925268915,20375.6755879928,"1_371_7",1,FALSE
"12",2000-03-24,10336.7817389397,20541.7385709831,-1986.14657415188,4725.99792467278,237.419875376198,1212.45960538788,4294.20588662929,-10191.4925268915,18834.1827620059,"1_371_7",1,FALSE
"13",2000-03-31,26120.1074915979,20651.3331788286,-764.342630862731,12606.6551179691,587.788852622093,1228.96622364319,5140.1723920218,-10191.4925268915,29259.0806073306,"1_371_7",1,FALSE
"14",2000-04-07,15019.5973973808,20760.927786674,-300.389760664661,2035.83785927151,184.67617361767,1541.06300814784,3795.02987520836,-10191.4925268915,17825.6524153632,"1_371_7",1,FALSE
"15",2000-04-14,15024.8563529988,20870.5223934915,-19.8257501468208,403.53922913603,129.08137453326,1310.82665761965,4091.19386260784,-10191.4925268915,16593.84524035,"1_371_7",1,FALSE
"16",2000-04-21,39170.5425505682,20980.117000309,1196.31414239061,11946.6016009234,546.843293665284,1262.92209305672,3152.8454545453,-10191.4925268915,28894.1510579988,"1_371_7",1,FALSE
"17",2000-04-28,24186.6241812839,21089.7116071265,3142.19173779468,9705.39257181092,638.623969803748,966.813087481012,4487.88858957993,-10191.4925268915,29839.1290367053,"1_371_7",1,FALSE
"18",2000-05-05,27304.1939710674,21199.306213944,4087.83980574175,5758.00066843319,1055.10833963455,1240.22391530284,4675.1974597761,-10191.4925268915,27824.1838759409,"1_371_7",1,FALSE
"19",2000-05-12,28449.7631688421,21308.9008207615,2756.13557746741,2484.21067162632,1965.52231501754,1298.4311265829,3935.28541823285,-10191.4925268915,23556.993402797,"1_371_7",1,FALSE
"20",2000-05-19,22757.888561978,21418.495427579,140.415848577884,10813.7364691243,1049.06090550396,1439.15818134314,3777.45921673106,-10191.4925268915,28446.8335219678,"1_371_7",1,FALSE
"21",2000-05-26,27788.0469586691,21528.0900343964,-1199.00655102759,8699.43224248337,255.80948459808,1133.057977584,4999.91915009173,-10191.4925268915,25225.8098112346,"1_371_7",1,FALSE
"22",2000-06-02,24928.9121763818,21637.6846413617,225.871403935771,10684.0323441971,55.3348845760554,1394.82784281926,3856.67147789895,-10191.4925268915,27662.9300678973,"1_371_7",1,FALSE
"23",2000-06-09,31254.867020432,21747.2792483269,3217.27350575021,4317.01102773292,670.082537613199,1059.80511891802,3955.74210683255,-10191.4925268915,24775.7010182824,"1_371_7",1,FALSE
"24",2000-06-16,28728.1131265519,21856.8738552922,5162.0463317714,7328.30685670088,342.898175750747,1360.3125967612,4190.67957927264,-10191.4925268915,30049.6248686575,"1_371_7",1,FALSE
"25",2000-06-23,25307.8298459171,21966.4684622574,4750.99042206933,2533.30745282773,619.072114632615,1313.53144778471,4514.3428586415,-10191.4925268915,25506.2202313218,"1_371_7",1,FALSE
"26",2000-06-30,25662.8112328148,22076.0630692226,3131.76587391329,2713.42427404204,911.861076584176,1014.04361910424,3085.26158818816,-10191.4925268915,22740.9269741631,"1_371_7",1,FALSE
"27",2000-07-07,22268.0849953346,22185.6576761879,2394.49451584472,4371.6001209506,639.664286658783,1003.74180483121,2541.3898798069,-10191.4925268915,22945.0557573886,"1_371_7",1,FALSE
"28",2000-07-14,26621.6700589293,22295.2522831531,3308.79948731071,1420.17279584516,1080.73544129919,1115.85900216267,4480.38968573567,-10191.4925268915,23509.7161686151,"1_371_7",1,FALSE
"29",2000-07-21,37042.5668318963,22404.8468907933,4819.35255405781,5329.10035086212,2446.2448604556,777.106556985239,4666.28379448201,-10191.4925268915,30251.4424807446,"1_371_7",1,FALSE
"30",2000-07-28,49455.5733851854,22514.4414984334,5522.57800442783,13005.8156560869,2930.63744860291,1142.88868224479,4881.65155285494,-10191.4925268915,39806.5203157593,"1_371_7",1,FALSE
"31",2000-08-04,30272.5661264572,22624.0361060736,5130.18958163855,6898.98610886752,3047.82875413236,1398.39673374052,2204.20306238953,-10191.4925268915,31112.1478199506,"1_371_7",1,FALSE
"32",2000-08-11,30183.8103571326,22733.6307137137,4324.99035098032,6836.02161208957,2891.90058079175,1713.74295539633,3800.7303616801,-10191.4925268915,32109.5240477603,"1_371_7",1,FALSE
"33",2000-08-18,16251.7104631428,22843.2253213538,3594.92527483755,3169.37689472335,2768.15452402671,1323.17092024999,3679.36451649492,-10191.4925268915,27186.7249247949,"1_371_7",1,FALSE
"34",2000-08-25,30431.7562840053,22952.819928994,2730.60136594958,8073.64223146916,2218.06227816497,1373.46556242291,4269.12622360382,-10191.4925268915,31426.2250637129,"1_371_7",1,FALSE
"35",2000-09-01,17917.6370621112,23062.4145591157,1502.33814141865,1896.05290473505,956.679618747723,1423.09434694277,1469.04043518238,-10191.4925268915,20118.1274792508,"1_371_7",1,FALSE
"36",2000-09-08,13775.4761925897,23172.0091892374,370.18159494477,460.546535230898,2110.03936095887,1003.51898692842,3251.98119953045,-10191.4925268915,20176.7843399394,"1_371_7",1,FALSE
"37",2000-09-15,22583.219615814,23281.6038193592,129.706284386217,10622.4722707575,1710.88545542344,1431.31152389739,3720.69178377426,-10191.4925268915,30705.1786107065,"1_371_7",1,FALSE
"38",2000-09-22,19070.9241616255,23391.1984494809,937.27813723126,1656.66888139474,2192.95568444167,1372.51969262002,2286.3022499203,-10191.4925268915,21645.4305681974,"1_371_7",1,FALSE
"39",2000-09-29,28733.6728813075,23500.7930796026,2026.89202621584,10651.9543026999,1494.16518169668,632.391924633495,3666.47443028808,-10191.4925268915,31781.1784182452,"1_371_7",1,FALSE
"40",2000-10-06,30203.7170186318,23610.3877097244,2493.73542427441,11824.8381920279,477.551357983554,1077.81523875283,3919.12858386998,-10191.4925268915,33211.9639797415,"1_371_7",1,FALSE
"41",2000-10-13,31839.5259149654,23719.9823398461,2117.85317928132,5961.76499846816,994.472463019828,1365.05892579398,3784.32828246398,-10191.4925268915,27751.9676619819,"1_371_7",1,FALSE
"42",2000-10-20,22363.2298879203,23829.5769742803,1239.04563051815,1143.20388637017,1448.45319266503,1130.88492125954,4925.75675530895,-10191.4925268915,23525.4288335107,"1_371_7",1,FALSE
"43",2000-10-27,30523.5864903605,23939.1716087145,51.1117199225337,9394.78039634101,2237.04379659327,1065.79867052343,2305.00751855793,-10191.4925268915,28801.4211837612,"1_371_7",1,FALSE
"44",2000-11-03,27927.9709150445,24048.7662431487,-1562.42971619394,12749.9556818565,799.002237953953,913.057317580282,4724.82342224215,-10191.4925268915,31481.6826596962,"1_371_7",1,FALSE
"45",2000-11-10,24036.3112112918,24158.3608775829,-3424.8655456364,12544.3525713805,1047.92868290528,654.236399875449,2779.77129079323,-10191.4925268915,27568.2917500095,"1_371_7",1,FALSE
"46",2000-11-17,7819.99590359677,24267.9555120171,-4724.18898608134,1124.32213193167,1276.3610664824,1351.38496581215,5018.90775453472,-10191.4925268915,18123.2499178052,"1_371_7",1,FALSE
"47",2000-11-24,26778.9229735683,24377.5501464513,-4721.08816572428,7620.36149898245,287.830070655638,1511.47369719538,4008.9135209841,-10191.4925268915,22893.5482416531,"1_371_7",1,FALSE
"48",2000-12-01,20377.8129740706,24487.1767932638,-3763.42422829339,9287.12749264124,143.993066545867,1248.0420524984,4320.98422378697,-10191.4925268915,25532.4068735514,"1_371_7",1,FALSE
"49",2000-12-08,18253.1663946634,24596.8034400763,-3159.64202023985,1163.87955981279,1145.58523938527,1068.94601983785,2845.84245420243,-10191.4925268915,17469.9221661833,"1_371_7",1,FALSE
"50",2000-12-15,14452.5109726298,24706.4300868887,-3766.01597609774,1417.22945052375,947.635502269982,1520.15775048269,3117.35594502921,-10191.4925268915,17751.3002322052,"1_371_7",1,FALSE
"51",2000-12-22,10112.4861036942,24816.0567337012,-4912.54162417316,1431.58021513289,1013.12281032788,1245.16308249002,2849.38471329569,-10191.4925268915,16251.2734038831,"1_371_7",1,FALSE
"52",2000-12-29,24275.5588138694,24925.6833805137,-5123.35445526317,12742.9507534314,431.532139434451,1242.18220386367,2782.93221702176,-10191.4925268915,26810.4337121103,"1_371_7",1,FALSE
"53",2001-01-05,24131.62256013,25035.3100273262,-3932.65663952825,7540.07860596926,523.800467596142,1349.0799456399,2382.12504274552,-10191.4925268915,22706.2449228573,"1_371_7",1,FALSE
"54",2001-01-12,14822.0367601121,25144.9366741387,-2590.22648694893,973.907531758363,869.888339472148,790.781282371508,2703.03454846546,-10191.4925268915,17700.8293623657,"1_371_7",1,FALSE
